Year,Country,Industry,Jobs Created by AI,Job Displacement by AI
2020,United States,Technology,272534,144342
2020,United States,Finance,362696,63440
2020,United States,Healthcare,211001,96501
2020,United States,Telecommunications,232341,57868
2020,United States,Education,177909,88729
2020,United States,Agriculture,45734,28064
2020,India,Technology,470577,59111
2020,India,Finance,303986,113753
2020,India,Healthcare,213783,71751
2020,India,Telecommunications,247525,88968
2020,India,Education,148570,96097
2020,India,Agriculture,54503,12779
2020,Canada,Technology,331827,89263
2020,Canada,Finance,251482,104857
2020,Canada,Healthcare,222989,67400
2020,Canada,Telecommunications,140115,64249
2020,Canada,Education,210361,74600
2020,Canada,Agriculture,67706,29222
2020,United Kingdom,Technology,241139,91302
2020,United Kingdom,Finance,425756,137838
2020,United Kingdom,Healthcare,239718,63543
2020,United Kingdom,Telecommunications,178353,81406
2020,United Kingdom,Education,188992,101428
2020,United Kingdom,Agriculture,53777,30914
2021,United States,Technology,223548,113221
2021,United States,Finance,325549,90701
2021,United States,Healthcare,237799,100717
2021,United States,Telecommunications,247764,81625
2021,United States,Education,124918,91136
2021,United States,Agriculture,82409,25577
2021,India,Technology,311776,149246
2021,India,Finance,433996,131731
2021,India,Healthcare,242226,71341
2021,India,Telecommunications,197554,96330
2021,India,Education,187759,118416
2021,India,Agriculture,63313,23304
2021,Canada,Technology,365767,80225
2021,Canada,Finance,249156,127209
2021,Canada,Healthcare,187453,77829
2021,Canada,Telecommunications,125938,109164
2021,Canada,Education,160282,97801
2021,Canada,Agriculture,39465,13326
2021,United Kingdom,Technology,358666,54763
2021,United Kingdom,Finance,341900,97588
2021,United Kingdom,Healthcare,111221,61211
2021,United Kingdom,Telecommunications,113569,87860
2021,United Kingdom,Education,145337,102311
2021,United Kingdom,Agriculture,43515,16159
2022,United States,Technology,453078,137227
2022,United States,Finance,355976,109935
2022,United States,Healthcare,143790,118580
2022,United States,Telecommunications,105636,52892
2022,United States,Education,121672,55812
2022,United States,Agriculture,30654,27143
2022,India,Technology,255934,117334
2022,India,Finance,303463,79087
2022,India,Healthcare,242690,58446
2022,India,Telecommunications,202127,98867
2022,India,Education,160101,77200
2022,India,Agriculture,91465,30900
2022,Canada,Technology,318422,137892
2022,Canada,Finance,419631,89148
2022,Canada,Healthcare,182928,70698
