Country,Relative_AI_Skills_Penetration,Unique_Occupations_with_AI_Skills,Category,Industry
Netherlands,0.27755,6,EDUCATION,Education
Italy,0.39204,10,EDUCATION,Education
Indonesia,0.41539,12,EDUCATION,Education
Brazil,0.49611,14,EDUCATION,Education
Ireland,0.5111,7,EDUCATION,Education
Finland,0.53429,5,EDUCATION,Education
Saudi Arabia,0.55417,10,EDUCATION,Education
Hungary,0.58815,5,EDUCATION,Education
Spain,0.60916,14,EDUCATION,Education
Poland,0.61724,5,EDUCATION,Education
Turkey,0.62763,11,EDUCATION,Education
Sweden,0.66704,8,EDUCATION,Education
Norway,0.67492,6,EDUCATION,Education
Australia,0.7031,19,EDUCATION,Education
France,0.75364,20,EDUCATION,Education
Greece,0.84392,12,EDUCATION,Education
Germany,0.90537,19,EDUCATION,Education
South Africa,0.94067,9,EDUCATION,Education
United Kingdom,0.94073,23,EDUCATION,Education
Switzerland,0.99997,9,EDUCATION,Education
Japan,1.286,5,EDUCATION,Education
Canada,1.33547,25,EDUCATION,Education
Korea,1.40855,9,EDUCATION,Education
Israel,1.4409,14,EDUCATION,Education
United States,2.50379,65,EDUCATION,Education
India,4.00867,85,EDUCATION,Education
Mexico,0.31814,9,"TECHNOLOGY, INFORMATION AND MEDIA",Technology
Portugal,0.35885,5,"TECHNOLOGY, INFORMATION AND MEDIA",Technology
Czech Republic,0.40705,5,"TECHNOLOGY, INFORMATION AND MEDIA",Technology
Argentina,0.46672,7,"TECHNOLOGY, INFORMATION AND MEDIA",Technology
Romania,0.48175,5,"TECHNOLOGY, INFORMATION AND MEDIA",Technology
Switzerland,0.55213,11,"TECHNOLOGY, INFORMATION AND MEDIA",Technology
Brazil,0.56004,18,"TECHNOLOGY, INFORMATION AND MEDIA",Technology
Belgium,0.56632,5,"TECHNOLOGY, INFORMATION AND MEDIA",Technology
Spain,0.56686,15,"TECHNOLOGY, INFORMATION AND MEDIA",Technology
Indonesia,0.59043,11,"TECHNOLOGY, INFORMATION AND MEDIA",Technology
