Country,Year,Industry,AI_talent_concentration,Year_over_year_change
India,2017,Education,0.0562,0.2714932126696833
India,2018,Education,0.0657,0.1690391459074733
India,2019,Education,0.0755,0.1491628614916285
India,2020,Education,0.0981,0.2993377483443709
India,2021,Education,0.1226,0.2497451580020386
India,2022,Education,0.1743,0.4216965742251223
Germany,2017,Education,0.0227999999999999,0.225806451612903
Germany,2018,Education,0.0291,0.2763157894736844
Germany,2019,Education,0.0371,0.2749140893470789
Germany,2020,Education,0.0492,0.3261455525606468
Germany,2021,Education,0.0636,0.2926829268292684
Germany,2022,Education,0.0883999999999999,0.3899371069182389
Japan,2017,Education,0.039,0.2460063897763578
Japan,2018,Education,0.0491,0.258974358974359
Japan,2019,Education,0.0608,0.2382892057026476
Japan,2020,Education,0.0774,0.2730263157894737
Japan,2021,Education,0.0988,0.2764857881136952
Japan,2022,Education,0.1316,0.3319838056680161
South Korea,2017,Education,0.0641,0.3243801652892563
South Korea,2018,Education,0.0801,0.2496099843993759
South Korea,2019,Education,0.099,0.2359550561797753
South Korea,2020,Education,0.1294,0.307070707070707
South Korea,2021,Education,0.1648,0.2735703245749614
South Korea,2022,Education,0.2168,0.3155339805825242
Israel,2017,Education,0.0412999999999999,0.4491228070175437
Israel,2018,Education,0.0536,0.2978208232445521
Israel,2019,Education,0.0683,0.2742537313432835
Israel,2020,Education,0.0897,0.3133235724743778
Israel,2021,Education,0.1184,0.3199554069119285
Israel,2022,Education,0.1709,0.4434121621621621
Turkey,2017,Education,0.0528,0.2482269503546098
Turkey,2018,Education,0.0646,0.2234848484848484
Turkey,2019,Education,0.0753,0.1656346749226006
Turkey,2020,Education,0.0902999999999999,0.1992031872509959
Turkey,2021,Education,0.1026,0.1362126245847176
Turkey,2022,Education,0.1185,0.1549707602339181
Greece,2017,Education,0.0250999999999999,0.1839622641509432
Greece,2018,Education,0.0297,0.1832669322709165
Greece,2019,Education,0.0351,0.1818181818181816
Greece,2020,Education,0.0511,0.455840455840456
Greece,2021,Education,0.0699,0.3679060665362035
Greece,2022,Education,0.0936999999999999,0.3404864091559369
Sweden,2017,Education,0.0341,0.24
Sweden,2018,Education,0.0428,0.2551319648093841
Sweden,2019,Education,0.0515,0.2032710280373832
Sweden,2020,Education,0.0639,0.240776699029126
Sweden,2021,Education,0.0821,0.2848200312989047
Sweden,2022,Education,0.1167,0.4214372716199754
India,2017,Technology,0.0479,0.2945945945945945
India,2018,Technology,0.0612,0.2776617954070981
India,2019,Technology,0.0776999999999999,0.2696078431372548
India,2020,Technology,0.1007,0.2960102960102961
India,2021,Technology,0.1329,0.3197616683217476
India,2022,Technology,0.1881,0.4153498871331828
Germany,2017,Technology,0.0224,0.3254437869822487
Germany,2018,Technology,0.0293,0.3080357142857142
Germany,2019,Technology,0.0375999999999999,0.2832764505119453
Germany,2020,Technology,0.0474,0.2606382978723405
Germany,2021,Technology,0.0596999999999999,0.2594936708860758
Germany,2022,Technology,0.0801,0.3417085427135679
Japan,2017,Technology,0.0258,0.372340425531915
Japan,2018,Technology,0.0346,0.3410852713178294
Japan,2019,Technology,0.0455999999999999,0.3179190751445085
Japan,2020,Technology,0.0559,0.2258771929824562
Japan,2021,Technology,0.0668,0.1949910554561716
Japan,2022,Technology,0.0883,0.3218562874251497
South Korea,2017,Technology,0.0399,0.303921568627451
South Korea,2018,Technology,0.0504999999999999,0.2656641604010024
South Korea,2019,Technology,0.0611,0.20990099009901
South Korea,2020,Technology,0.075,0.2274959083469721
South Korea,2021,Technology,0.0899,0.1986666666666666
South Korea,2022,Technology,0.1104,0.2280311457174637
Israel,2017,Technology,0.0289,0.4744897959183675
Israel,2018,Technology,0.0388,0.3425605536332179
Israel,2019,Technology,0.0512,0.3195876288659794
Israel,2020,Technology,0.0666,0.30078125
Israel,2021,Technology,0.0819999999999999,0.2312312312312311
Israel,2022,Technology,0.1011,0.2329268292682927
Turkey,2017,Technology,0.0109,0.5138888888888891
Turkey,2018,Technology,0.0167,0.5321100917431191
Turkey,2019,Technology,0.0239,0.4311377245508982
Turkey,2020,Technology,0.0308999999999999,0.2928870292887028
Turkey,2021,Technology,0.0363,0.174757281553398
Turkey,2022,Technology,0.0407,0.1212121212121213
Greece,2017,Technology,0.0146,0.2586206896551725
Greece,2018,Technology,0.0197999999999999,0.3561643835616438
Greece,2019,Technology,0.0256999999999999,0.2979797979797979
Greece,2020,Technology,0.0323,0.2568093385214008
Greece,2021,Technology,0.036,0.1145510835913313
Greece,2022,Technology,0.0404,0.1222222222222221
Sweden,2017,Technology,0.0113999999999999,0.4249999999999999
Sweden,2018,Technology,0.0157,0.3771929824561406
Sweden,2019,Technology,0.0196,0.2484076433121018
Sweden,2020,Technology,0.0241,0.2295918367346939
Sweden,2021,Technology,0.0291,0.2074688796680497
Sweden,2022,Technology,0.0358,0.2302405498281786
India,2017,Finance,0.0133,0.4000000000000001
India,2018,Finance,0.0186,0.3984962406015037
India,2019,Finance,0.0258,0.3870967741935484
India,2020,Finance,0.0355,0.3759689922480619
India,2021,Finance,0.0472,0.3295774647887324
India,2022,Finance,0.0658,0.3940677966101696
Germany,2017,Finance,0.0060999999999999,0.4186046511627906
Germany,2018,Finance,0.0086,0.4098360655737705
Germany,2019,Finance,0.0121999999999999,0.4186046511627906
Germany,2020,Finance,0.0152,0.2459016393442623
Germany,2021,Finance,0.0179,0.1776315789473684
Germany,2022,Finance,0.0215,0.2011173184357541
Japan,2017,Finance,0.0068,0.3877551020408164
Japan,2018,Finance,0.0096,0.4117647058823528
Japan,2019,Finance,0.0129,0.3437500000000001
Japan,2020,Finance,0.016,0.2403100775193798
Japan,2021,Finance,0.018,0.1249999999999999
Japan,2022,Finance,0.0207,0.1499999999999998
South Korea,2017,Finance,0.0096,0.5737704918032787
South Korea,2018,Finance,0.0141,0.4687499999999999
South Korea,2019,Finance,0.0197,0.3971631205673759
South Korea,2020,Finance,0.0256999999999999,0.3045685279187816
South Korea,2021,Finance,0.0321,0.2490272373540857
South Korea,2022,Finance,0.0378,0.1775700934579439
Israel,2017,Finance,0.0106,0.5362318840579712
Israel,2018,Finance,0.0152,0.4339622641509433
Israel,2019,Finance,0.0200999999999999,0.3223684210526314
Israel,2020,Finance,0.0266,0.3233830845771146
Israel,2021,Finance,0.0334,0.2556390977443608
Israel,2022,Finance,0.0412999999999999,0.2365269461077844
Turkey,2017,Finance,0.004,0.4285714285714285
Turkey,2018,Finance,0.0063,0.575
Turkey,2019,Finance,0.0098,0.5555555555555555
Turkey,2020,Finance,0.013,0.326530612244898
Turkey,2021,Finance,0.0152,0.1692307692307691
Turkey,2022,Finance,0.0157,0.0328947368421052
Greece,2017,Finance,0.0043,0.3437499999999999
Greece,2018,Finance,0.0069,0.6046511627906975
Greece,2019,Finance,0.0098,0.4202898550724639
Greece,2020,Finance,0.0128,0.3061224489795919
